จันทบุรี,125834,0.37,130133,966.96
นครศรีธรรมราช,55584,0.16,90528,614.00
ชุมพร,46669,0.14,50182,929.99
ตราด,34627,0.10,37233,930.01
ระยอง,19149,0.06,27594,693.96
นราธิวาส,11287,0.03,19836,569.02
ระนอง,9605,0.03,13920,690.01
สุราษฎร์ธานี,8673,0.03,12698,683.02
พังงา,7845,0.02,12915,607.43
พัทลุง,6429,0.02,11299,568.99
ยะลา,3848,0.01,6933,555.03
สงขลา,2520,0.01,4052,621.92
ตรัง,1536,0.00,3227,475.98
ปัตตานี,1191,0.00,2295,518.95
สตูล,928,0.00,1594,582.18
ปราจีนบุรี,677,0.00,1367,495.25
กระบี่,394,0.00,971,405.77
ชลบุรี,284,0.00,594,478.11
ประจวบคีรีขันธ์,254,0.00,528,481.06
ภูเก็ต,252,0.00,467,539.61
นครนายก,235,0.00,479,490.61
เชียงราย,113,0.00,396,285.35
นนทบุรี,19,0.00,75,253.33
