เพชรบูรณ์,663268,0.13,848251,781.92
นครราชสีมา,549088,0.11,707300,776.32
น่าน,460954,0.09,665244,692.91
ตาก,416351,0.08,565063,736.82
เลย,345580,0.07,484694,712.99
เชียงราย,294008,0.06,388569,756.64
นครสวรรค์,224467,0.04,289450,775.49
พิษณุโลก,209044,0.04,272847,766.16
แพร่,206123,0.04,284617,724.21
พะเยา,193006,0.04,252405,764.67
ลพบุรี,185063,0.04,251634,735.45
สระบุรี,145693,0.03,180264,808.22
ลำปาง,141228,0.03,190972,739.52
อุตรดิตถ์,140447,0.03,196955,713.09
เชียงใหม่,131366,0.03,173910,755.37
อุทัยธานี,110763,0.02,126075,878.55
สระแก้ว,85931,0.02,106915,803.73
ชัยภูมิ,78162,0.02,107132,729.59
กำแพงเพชร,63371,0.01,84667,748.47
กาญจนบุรี,62179,0.01,83951,740.66
ลำพูน,59602,0.01,79532,749.41
อุบลราชธานี,55998,0.01,74848,748.16
สุโขทัย,47390,0.01,66960,707.74
แม่ฮ่องสอน,45809,0.01,63098,726.00
สุพรรณบุรี,36400,0.01,46947,775.34
พิจิตร,30918,0.01,42565,726.37
ศรีสะเกษ,27742,0.01,35446,782.66
หนองบัวลำภู,17717,0.00,25028,707.89
ปราจีนบุรี,17502,0.00,22338,783.51
จันทบุรี,8589,0.00,11737,731.79
ชัยนาท,7479,0.00,10127,738.52
ขอนแก่น,6963,0.00,10475,664.73
ร้อยเอ็ด,3954,0.00,5924,667.45
กาฬสินธุ์,3572,0.00,5970,598.32
เพชรบุรี,2844,0.00,4325,657.57
อุดรธานี,1973,0.00,2727,723.51
ฉะเชิงเทรา,1402,0.00,1923,729.07
อำนาจเจริญ,1321,0.00,1881,702.29
สกลนคร,1282,0.00,1905,672.97
บุรีรัมย์,1202,0.00,1774,677.56
สุรินทร์,1094,0.00,1601,683.32
ราชบุรี,1086,0.00,1719,631.76
หนองคาย,1034,0.00,2286,452.32
มุกดาหาร,605,0.00,863,701.04
นครพนม,558,0.00,812,687.19
ประจวบคีรีขันธ์,554,0.00,865,640.46
ยโสธร,529,0.00,764,692.41
มหาสารคาม,479,0.00,703,681.37
